[1, "No, never that  https://t.co/BI4QXAUYio"]
[534, "@cheekielouis tell her you've got diarrhea and call your parents"]
[535, "@Morky_Orky Yes it is, and it's up to us to prevent it by taking those flu shots!"]
[536, "Try Not To Vomit, Here's Someone Pulling Out A Huge Lump Of Earwax https://t.co/Fhe27vAZFE"]
[537, "After a positive flu-test last week it's been very un-glamorous around here. Kicking the flu, finally! :D"]
[538, "@dii_nnaraa99 young fever :v"]
[539, "#nowplaying The Black Keys - Fever (Radio Edit) on https://t.co/8T3pwo8nbD https://t.co/f7Z9RSmwsN"]
[540, "@Colt2822_ the dancing is vomit inducing"]
[541, "NSW Swifts set up netball blockbuster after beating Fever https://t.co/qvTtWYp682 #sports #australia"]
[542, "tem um menino que eu sempre vejo em neg\u00f3cio do Flu , fico morrendo de vontade de falar . ele parece ser legal"]
[543, "FEMA CAMPS ARE ALSO KNOWN TO TORTURE PEOPLE &amp; USE THEM AS EXPERIMENT'S , don't belive me,\" look it up for you self \". Say no to flu shots!"]
[544, "Fighting a #flu virus common cold? IMMUNE the ultimate protector! https://t.co/ULXsgg57ti #health https://t.co/WdWBRxeRHt"]
[545, "Chef Manohar insisted to make me Ginger/lemon tea for me due to my flu. A real treat. TU @JWMarriott @dubaitourism https://t.co/xS6Ah8LgTZ"]
[546, "i bet @richardjuan has something to do with this #Michard fever."]
[547, "Why the hell I been drinking nyquil this whole time https://t.co/kHNyP2EsQH"]
[548, "Been fucking sneezing all day thanks @jesus"]
[549, "@EmsJays stay dehydrated kids"]
[550, "https://t.co/09BRVGwbge Weight gain/loss?  Diarrhea? Nauseous? Join our FB Group: Giardia Survivors and Sufferers https://t.co/vbBPLimnqg"]
[551, "Deactivate https://t.co/Qn8gXBvwVG"]
[552, "this is prob my favorite tweet ever https://t.co/e7EUd754q2"]
[553, "wth the lunch i ate iz in mah throat i dont wanna vomit :&lt;"]
[554, "Like water, cuz I'm dehydrated"]
[555, "\"... And while we're at it what's wrong with diarrhea?\""]
[556, "\"Starve a cold and feed a fever. Or was it the other way?\"-Lodwicke"]
[557, "Fuckin flu urgh"]
[558, "@Veesonie4  had the flu in his game tonight and got 2 interception with the W. Reminded me of MJ flu game. https://t.co/cdQTOogBv6"]
[559, "La Lupe - Fever https://t.co/z8w5pmI8T5 #nowplaying #listenlive"]
[560, "Caught you napping, can I pet you?  Ugh, I have Zoo FEVER!!! @ Point Defiance Zoo &amp; Aquarium https://t.co/fyqX1tUrm2"]
[561, "Flu e Botafogo reeditam semi de 2015 e decidem vaga na final do Carioca  #Botafogo"]
[562, "DO YOU HAVE CHEMTRAIL FLU?OR HAVE HAD IT?SYMPTOMS https://t.co/hujKuOhkRK via @YouTube"]
[563, "Onda...no se me puede venir a la mente como cuando vomit\u00e9 o como cuando me ca\u00ed de jeta al levantarme del banco para una foto? Ni"]
[564, "#Prince- w8 4 the ME report. MayB the 'scripts 4 the flu proved 2 b 2 high 4 him, or a bad combo, or could b allergic reaction. Let's w8 &amp; c"]
[565, "RT @AkuLahAshraf: This flu got to stop someday....."]
[566, "|&gt;.. I juu buusu\" Does Someone else's diarrhea makes your ass itch. #Mandika #African #Proverb https://t.co/7URhxAKzcw"]
[567, "It's also entirely possible this information came to me in a fever dream brought on by the sheer fact that we've been doing this for hours."]
[568, "RT @_ThandekaNkosi: Keep warm guys I flu iyabulala"]
[569, "When it smells like vomit n you're like who vom'ed?"]
[570, "Interesting fact about me: I no longer have an immune system, and have become a hostel for variations of the flu."]
[571, "RT @ratchel_: This makes me want to vomit  https://t.co/XquuV7TFBT"]
[572, "@AlyssSmithh it's ok I sometimes pee myself without even sneezing"]
[573, "Ion Perak bermanfaat mengatasi flu, PIN:56E276C0 - SMS/WA: 081297139078 #MSI #BioSpray #Bogor"]
[574, "the blazers actually won tonight! have celebrated by getting extremely drunk. i am calling tonight THE BLAZERS WON: there will be vomit"]
[575, "\"Diarrhea is like vomit coming out of your mouth...\""]
[576, "@DipuCXOXO well I least I can safely say that I don't have a vomit fetish"]
[577, "RT @damnfactz: Vodka can be used to relieve a fever."]
[578, "lunatics unleashed seems like a bad fever dream tbh"]
[579, "goo what have u done \nyouve ignited by baby fever"]
[580, "#Prince briefly hospitalized with flu after emergency landing... https://t.co/hIrmD2NoJo"]
[581, "I really don't want to go to work tomorrow should tell my boss I got the flu or something"]
[582, "WATCH RETURN OF SUPERMAN WITH THE TRIPLETS THAT VISIT YG ITS SO CUTE https://t.co/wvyaJYHzbM"]
[583, "Pada Lansia, Respons Imun Saat Kena Flu Bisa Berefek Buruk pada Paru-paru https://t.co/7Yd3g8e7ud via @detikHealth"]
[584, "RT @AdamLambertBE: VIDEO - Adam Lambert - Lay Me Down/Shady/Fever @ Stockholm, 23.04.2016 https://t.co/gU0tEQyVEm"]
[585, "@neueunso ibu fluu?segeram ke rs buu ngeri flu babi:("]
[586, "I've been telling myself I'm gone wait til I'm 30 to have kids, but baby fever just so hard to get rid of right now. https://t.co/9LTjFAwawS"]
[587, "Soups That Can Cure the Flu https://t.co/HczhqkVwdp"]
[588, "@sj_cho88 ini agak mendingan sih sakitnya\nKan udah lewat beberapa hari.\nAku lagi flu tau. Selain sakit karena itu, aku juga flu :\""]
[589, "#NOWPLAYING Various Artists - Fever - Andy, Horace ON https://t.co/mSrYmgWcBX http://https://t.co/Tt4lmzGlDo"]
[590, "#sundaymood with a terrible flu:  https://t.co/ctCRanUbP3 k\u00e4ytt\u00e4j\u00e4lt\u00e4 @pinterest"]
[591, "We have flu. https://t.co/dDca4hWfY3"]
[592, "#LAA #Angels Mariners fall to Angels in Felix's return from flu https://t.co/Z2aYNawEEC #SportsRoadhouse"]
[593, "#WeLoveLA #Angels Mariners fall to Angels in Felix's return from flu https://t.co/DprIP7CLaq #SportsRoadhouse"]
[594, "@jaebumfisting DONT YOU DARE TO STAN THIS IS MY FUCKING LOVER I WILL FIGHT YOU DIGGLY DING DONG TWO SQUARE HEADED DROLLING VOMIT GREEN BITCH"]
[595, "RT @EephusBlue: I think Carl Crawfording something should refer to things like hurting your back by sneezing\n https://t.co/ScIDRekDYR"]
[596, "RT @Jaiyee: Na All this blood money people de cause inflation! Money Wey CBN no account for, person go de vomit for cupboard"]
[597, "RT @detikcom: Pada Lansia, Respons Imun Saat Kena Flu Bisa Berefek Buruk pada Paru-paru https://t.co/7Yd3g8e7ud via @detikHealth"]
[598, "I see baby fever :')"]
[599, "@Dominos_UK Vomit. Do I get a free one?"]
[600, "RT @notredfopp: @supahmemeball I want to vomit omg"]
[601, "RT @CuteEmergency: Incase you are having a bad day here's a dog sneezing https://t.co/ZF3rVdRF3p"]
[602, "@izzatrasnan amboi femes aih Tok Nan. Siap ada fever bagai.  https://t.co/Err1Jv6Uyg"]
[603, "#Prince briefly hospitalized with flu after emergency landing... https://t.co/6UUuBKgDiY"]
[604, "Sneezing is such a great feeling"]
[605, "RT @ConiendoJenjen: #TOMIHO Fever\n\nMasaya kami makita kau na masaya https://t.co/xD3ZDZ6WjW"]
[606, "I hate this flu,makes me look like a breast feeding kid"]
[607, "My TL be mf dehydrated at night"]
[608, "RT @ConiendoJenjen: #TOMIHO Fever\n\nJuico ko po Oxygen plsssss https://t.co/GFW1JpI5hD"]
[609, "@ndtv You guys don't have anything to highlight him nowdays. So expecting more news like he got cold &amp; fever, he is having itching  etc. !"]
[610, "RT @Hawaii247: No new #Dengue Fever cases Thursday (April 21) https://t.co/ssFtZgUdic"]
[611, "my fever is coming back again"]
[612, "RT @TheNursePath: Recommend read for ED and paeds nurses. \n\nEverything you need to know about vomit. https://t.co/LJKzQqio4q"]
[613, "@FIYAPWOOF_SIVAN it's late and I just want to sleep but I've been sneezing all night and I have a fever and I feel like crap"]
[614, "Thanks @RDIKenyon for sharing your flu #dosedup"]
[615, "Photo: StarPix/REX/Shutterstock.Beyonc\u00e9 fever reached an unsustainable pitch when Lemonade finally went live on HBO Saturday night. T..."]
[616, "Fever-Fish Children's Fever Monitor Strips Are Unique New Disposable Liquid Crystal Fever #Thermometers That Enable https://t.co/goDAjhl5lu"]
[617, "my best friend told me his prob, he was crying so i joined him too.. and now im stuck in flu pft i wish he will join me too lmao ()"]
[618, "As a dog returneth to his vomit, so a fool returneth to his folly. Proverbs 26:11."]
[619, "Todos q tava com a camisa do BR no jogo do Flu e do Vasco era flamenguista, bem lixo"]
[620, "Mengatasi Telinga Tersumbat Karena Flu Berat https://t.co/b2jFW5eUcL"]
[621, "How Do You Get Your Dog To Drink Water When Dehydrated ? I had a client call me today asking \" How can I get m https://t.co/si002L7Ud8"]
[622, "How Do You Get Your Dog To Drink Water When Dehydrated ? I had a client call me today asking \" How can I get m https://t.co/4tM9B0hMTx"]
[623, "Design duo Colin and Justin on spreading cabin fever across the US, being style gurus down under and planning ... https://t.co/RyIdY4ZO3e"]
[624, "RT @NST_Online: #SarawakElection fever: Palm sugar ice cream, anyone?\n\nhttps://t.co/c1IVq10nam https://t.co/A71Tm8IwWB"]
[625, "RT @2ne1bangtan: sneezing hani is the cutest thing ever! hahahahhaa!! #hani #EXID #CrimeScene (Vine by @pyopyonim) https://t.co/FocT83riP8"]
[626, "I liked a @YouTube video https://t.co/UpcLmOowSA The Cider Challenge - (Feat. HowToBasic) *VOMIT WARNING* (18+)"]
[627, "Writing cafe: sneezing and sniffling my way through a series of editing instructions from myself, head thundering. #GloryDays"]
[628, "I have got uncontrollable diarrhea.. #GetOutOfWorkIn5Words"]
[629, "Lucy At The Flu Doctor | Best Game for Little Girls - Baby Games To Play: https://t.co/0NgJtkhYBu via @YouTube"]
[630, "i have a fever, im congested, cant sleep and have really bad cramps that are making me cry. WHY DOES THIS NIGHT SUCK ALL OF A SUDDEN );"]
[631, "Got a fever. Like literally. Sis gave me her dissident metric only thermometer. Says 38.4. Will I live and/or see unicorns anytime soon?!?"]
[632, "Did so much air duster passed out and woke up in my own vomit .. https://t.co/n0gmnTZIcZ"]
[633, "Avian Flu Diary: EID Journal: Possible Transmission Of MCR-1 Harboring E. coli Between Companion Animals &amp; Humans https://t.co/fjo8kusuCj"]
[634, "quando a conversa flu\u00ed sem precisar ta for\u00e7ando assunto \u00e9 td de bom"]
[635, "@karrauday nature is itself beauty n everything it touches turns beautiful... Now dat was philosophical... Huhhh don't vomit... :-P"]
[636, "She obviously has geographical issues  . It's UKIP that stands for u to have the right to write such diarrhea https://t.co/oUqLxUaNke"]
[637, "RT @ItsJayB_: Girl find yo life https://t.co/JtQLSL7m0Z"]
[638, "Dr. Mark Geier discusses aspects of the flu vaccine https://t.co/r5DEU6Csdd via @YouTube"]
[639, "#Saturday Night Fever. @ Orlando, Florida https://t.co/woo1yXgu7G"]
[640, "The Original Movie Sound Track Saturday Night Fever Record Album Bee Gees 1997 #Disco https://t.co/41IjQo03Yq"]
[641, "@captainkrystal don't watch the new cabin fever krystal"]
[642, "fever, pls leave me alone"]
[643, "\"The fever, the rage, the feeling of powerlessness that turns good men... cruel\"\nBatman V superman"]
[644, "Yeah Yeah Yeahs, 'Fever to Tell' (2003) https://t.co/NOiPln5ddB via @rollingstone"]
[645, "RT @rileyblott: its like doing peyote and sneezing slowly for six hours"]
[646, "I think I'm coming down with a flu. https://t.co/xLfOMVKf46"]
[647, "RT @mlanaaa: got baby fever af lately bc everyone n they mama pregnant"]
[648, "@arcticzee @LMJupdates @OfficialWillow if you see crap or vomit drawn it will be beautiful? I mean it may be art but is still gross to me"]
[649, "u talk like diarrhea, u cant control the amount of shits coming out from ur mouth"]
[650, "NowPlaying Deep Pride (RC Deep Flu Mix)  - DJ Roland Clark https://t.co/JmxNF44gbV"]
[651, "Fever and stomachache.. EK pa more xD"]
[652, "https://t.co/0kCf4xFWCZ https://t.co/CDd1NH4Wda https://t.co/eRF2hfcy7V..."]
[653, "Adam lambert- fever - Stockholm, fryshuset 23rd april 2016 -  via Angelina Erving... https://t.co/J0nJrNbAJ4"]
[654, "That after this fever, I'll survive"]
[655, "bleeeh i cant stop sneezing ;  ;"]
[656, "En ce moment sur Zone Radio: \nUltra Vomit - Judas Prost\nhttps://t.co/d1aMPlfEQl   \nhttps://t.co/JVQgs0B3np \n#nowplaying"]
[657, "@scott_dennis Ahhh !.....Man flu ?"]
[658, "@TWA2Garp @truckerbooman im cashin out b4 i vomit"]
[659, "RT @evankirstel: Thermal billboard can detect a fever | Springwise #digitalhealth Source by Mihalache Daniel... https://t.co/OwsRvxwOGQ"]
[660, "\"That's how it starts, sir. The fever, the rage, the feeling of powerlessness that turns good men... cruel.\" #BvS #FinalsAreComing"]
[661, "https://t.co/82EosU1S9B Air Jordan Retro 12 Obsidian Playoff Taxi CDP Cherry Flint French Flu Bred"]
[662, "Trail Fever: Spin Doctors, Rented Strangers, Thumb Wrestlers, Toe Suckers, grizz https://t.co/GGS4A0jqot https://t.co/I1gOzVuLD1"]
[663, "21 days until 2am phone calls about drunk residents covered in vomit are no longer my problem #RAlife #SOS"]
[664, "RT @RekhaCBabu: Rekha Babu - Startup fever is in the air. Everybody has... | Facebook https://t.co/CZiqeK6Eqg"]
[665, "@PradaJeffrey @_altjay @lexgts @fIopstar I haven't looked at your \"pics\" but your icon makes me want to vomit you vapid whore. Cishet scum."]
[666, "In bed with the flu and a 101 degree temp. Can't sleep. Hoping to watch @gunsnroses play at @Coachella. Watching on Periscope for now."]
[667, "i might have diarrhea in a strip club"]
[668, "RT @AprendelngIes: fever - fiebre"]
[669, "Catholic twitter is asleep because Mass in the morning... I am unsure if I will make it. My fever is ~102, with no signs of improvement."]
[670, "RT @WVUM_Playlist: Saturday Night Fever - Flamingosis"]
[671, "I looked up 'pandemicsexual' and not even google knows what it is  https://t.co/uNGGu1srew"]
[672, "Low Blood. Dehydrated. Acidic. May infection sa dugo. Anak ng palompyang naman talaga."]
[673, "Coughing sneezing Coughing sneezing.  Im dying"]
[674, "Lil bitch is swimming in her own vomit"]
[675, "\"Sneezing three times in a row is good luck.\" -the mother\n\nNo, it's just the Santa Anas."]
[676, "RT @UAENews: Emirates FA Cup A380: Dubai carrier brings football fever to the skies https://t.co/wPGiQ5lUW5"]
[677, "Lol please record https://t.co/CYT30m3qpb"]
[678, "@alyhansen_ Is it like, reverse sneezing?!?!"]
[679, "#NSW Swifts set up Queensland Firebirds blockbuster after West Coast Fever win https://t.co/rbPcIT4Ay1"]
[680, "Why isn't my fever going downnn"]
[681, "https://t.co/GTfAT1qrt2 https://t.co/vOaqfujYao https://t.co/ZJTqp4aHW7..."]
[682, "https://t.co/caIfdnRVVB Air Jordan Retro 12 Obsidian Playoff Taxi CDP Cherry Flint French Flu Bred"]
[683, "I just remembered got7 tickets go on sale next week I'm gonna vomit all over I can't do this"]
[684, "I got stomach flu I think.  :("]
[685, "Can't stop sneezing and my eyes are itching someone please shoot me"]
[686, "I think I'm running a fever....ooops"]
[687, "Whoever/whatever got me sick needs to go die in a slow painful death. 2:48 AM and can't sleep due to painful coughing and sneezing."]
[688, "The 'Saturday Night Fever' soundtrack (1977) is an album by the Bee Gees &amp; Others."]
[689, "'Nighthawks' and the 'Saturday Night Fever' soundtrack. Which better captures the zeitgeist of its time?"]
[690, "For dryness of the mouth caused by fever https://t.co/2BNCx63mZV"]
[691, "I look dead in nudes https://t.co/wINxLXw3Gc"]
[692, "@bubbaguyz SOTP.THIS PIMCUTURE GIVES ME DIARRHEA"]
[693, "RT @ShannyAnneXoX: Not the sneezing and having the Niagra falls appear from no where"]
[694, "Koi flu theek kerde got 2 prezzers tmrw"]
[695, "swine flu and being pregnant https://t.co/xVJqlr7TWV"]
[696, "Drink WATER! not coke!  https://t.co/zvxC3c68TU"]
[697, "National News Agency - Lebanon Ministry of Health raises awareness on bird flu outbreak https://t.co/7sypEl1FD8"]
[698, "https://t.co/66tB73YEEz Air Jordan Retro 12 Obsidian Playoff Taxi CDP Cherry Flint French Flu Bred"]
[699, "https://t.co/Is9gKjloFm #shoes Air Jordan Retro 12 Obsidian Playoff Taxi CDP Cherry Flint French Flu Bred"]
[700, "#Prince Treated For Flu After His Plane Makes Emergency Landing... https://t.co/Do6Mno5UVt"]
[701, "https://t.co/Hhwpb1NPMS Air Jordan Retro 12 Obsidian Playoff Taxi CDP Cherry Flint French Flu Bred"]
[702, "I hate flu!! Fully dressed with blanket on and I'm still shaking like a shitting dog!! #manflu"]
[703, "I have severe text vomit. SOS"]
[704, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/CM9ZZewfJS https://t.co/iva9GzZFRI"]
[705, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/dkF4NSnNgz https://t.co/r4fr2ZLbcZ"]
[706, "RT @gavi: This week in #vaccines: yellow fever, #Zika, #meningitis &amp; #polio https://t.co/mj9hyh2WRb #vaccineswork https://t.co/FAXZSMBraw"]
[707, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/PVxXc91DGN https://t.co/eFAAu0zuGO"]
[708, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/ZpzFL69odz https://t.co/RgaMkQ6BFw"]
[709, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/mhiVnWbZMS https://t.co/mgiJdO7r7X"]
[710, "Petty Fever in Tulalip Sept 1, 2013 (6)\n\nPetty Fever at the Canoes Cabaret ...\nhttps://t.co/IXr67zmmlE https://t.co/I5HxDaku7V"]
[711, "#reduziert Recht f\u00fcr Fl\u00fcchtlinge: Ein Leitfaden durch das Asyl- und Ausl\u00e4nderrecht f\u00fcr die Praxis https://t.co/tXHKIU5011"]
[712, "@MikeDodgerStout I remember my dad played that song Diarrhea once. Hilarious stuff."]
[713, "this highkey sounds like a white summer, we don't do shit in the valley but get dehydrated and burn  https://t.co/IPYjc0nfRI"]
[714, "Public outrage is reaching a fever pitch over the deadly collapse of a bike path in Rio https://t.co/nVBy8Nuw2I"]
[715, "RT @MarketWatch: Public outrage is reaching a fever pitch over the deadly collapse of a bike path in Rio https://t.co/nVBy8Nuw2I"]
[716, "Did you know diarrhea is hereditary?\nIt runs in your jeans!"]
[717, "Public outrage is reaching a fever pitch over the deadly collapse of a bike path in Rio https://t.co/nHlYupf9Yq"]
[718, "Mr Killa - Fever 2015 Soca Music"]
[719, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/S6nBbJHhBi https://t.co/TZI4Bnm3Pn"]
[720, "Gentle yoga poses that boost immunity during cold and flu season - https://t.co/1NzGLI68ap #yoga #weightloss https://t.co/jSHvave4PB"]
[721, "Its beautiful vogue Women's Woolrich Spring Fever Plaid Roll-Tab Shirt s #BestPrice at https://t.co/dEf0g36Sas https://t.co/0pklV8h2yG"]
[722, "i hate sneezing in front of people"]
[723, "It's cricket fever at The Ship! Join us for a drink, some mouth watering food &amp; the game on the big screen! #Pune https://t.co/jP0jYv3Awd"]
[724, "RT @TheNationalUAE: Emirates FA Cup A380: Dubai carrier brings football fever to the skies https://t.co/yoRRBOA3rE https://t.co/TE9Q4hPEPI"]
[725, "same https://t.co/dsGnXIqU0b"]
[726, "Emirates FA Cup A380: Dubai carrier brings football fever to the skies https://t.co/TObmY3msFU"]
[727, "How to Reduce Fever In Children\nhttps://t.co/gMVKHjkT4a https://t.co/INKZdLKEtj"]
[728, "All along it was a fever ."]
[729, "Starting to look at wedding ideas and there is nothing that makes me want to vomit more than stuff like this.. #gag https://t.co/ALiln8CGy4"]
[730, "im watching the new cabin fever &amp; it already looks so cheesy but im still watching"]
[731, "Everybody but me has been getting the flu and now I feel sick fuuuuuuuck"]
[732, "Tahukah Anda, penelitian membuktikan bhw ekstrak daun teh pny efek anti bakteri yg dpt melawan flu &amp; sakit tenggorokan. #TriviaGizi"]
[733, "Prince was NOT a drug addict. If anything was found in his body, it was over the counter prescriptions. Doctors orders. The man had the flu"]
[734, "Barber: what you want?\nMe: You seen my wife's legs when she has the flu? \nBarber: Say no more fam. \n\n@fordsweater @shoe0nhead"]
[735, "IM DEHYDRATED NOW, THANKS TO BANGTAN PICS."]
[736, "@RobinSharma Hello Sir, we have started a Free library name as THE BOOK FEVER, can you donate a book to our library??"]
[737, "#RT beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/DJHSRxTqpK https://t.co/6p707bi1MF"]
[738, "Whole day sneezing zzz"]
[739, "Cabin Fever (Remastered) - Michael Stanley Band https://t.co/4C4MKbyN4C #Rock"]
[740, "KAYA NGA E LITSI NAKAKAINIS TULOY AHAHAHHAHA I FEEL THE LAB ASKSNJS https://t.co/O2Bcr4R5FT"]
[741, "like literally the thought of ians dick makes me want to vomit profusely"]
[742, "Fuck flu"]
[743, "RT @jokesuk: Did you know diarrhea is hereditary?\nIt runs in your jeans!"]
[744, "Fever Tree - Live [Vinyl New] https://t.co/yYH30YbFCh #vinyl #records"]
[745, "I liked a @YouTube video from @zojakworldwide https://t.co/870tbuWUS3 Vybz Kartel - Fever (PROMO FROM FIRST SINGLE)"]
[746, "MarketWatch: Public outrage is reaching a fever pitch over the deadly collapse of a bike path in Rio https://t.co/vIBUfLhzpS"]
[747, "RT @TheMeganCox: i hate sneezing in front of people"]
[748, "@HKINeverKnew \"I never Knew\" such was Saturday night fever at LAN kwai fong,Hong kong #DiscoverHongKong #AgreeTnC https://t.co/IaU510ZbF6"]
[749, "Behive fans gonna tell you that you need medLEMON  https://t.co/LVe8ergLSm"]
[750, "It's either a cold, or early signs of hayfever. Great.  #sneezing"]
[751, "#Java makes me pour fucking bloody diarrhea thru my fucking ass and vomit my own fucking guts thru my mouth eyes nose and ears. #jpoint"]
[752, "Game of Thrones Fever!\n#GoTFever #GoT https://t.co/BXCSLrf8xt"]
[753, "RT @papatskiee: Loisa Fever #ASAPHaloHalo"]
[754, "Esta noche mis vecinos que SIEMPRE ponen REGUETON a todo volumen; pusieron el OST de SATURDAY NIGHT FEVER... \u00a1Travolta &amp; Bee Gees MILAGRO!"]
[755, "I know that G2 lives on inside us all, but do try to keep it down. https://t.co/pdU6p08Gqq"]
[756, "Popular People Survived the 1918 Flu Pandemic https://t.co/qpW93VlXMJ https://t.co/8S2B0NGDFy"]
[757, "It's cricket fever at The Ship! Join us for a drink, some mouth watering food and our favourite game on the big... https://t.co/MecKX1pJoU"]
[758, "beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/2Q2DQfuFH2 https://t.co/DocP4ISTuh"]
[759, "If you didn't have diarrhea already this week from the death of #Prince there is something wrong with you. #PrinceSNL"]
[760, "Fever fever go away don't come back any other day."]
[761, "beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/IKyv3MYY8j https://t.co/sX1MutOJIi"]
[762, "beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/DQZyZWrvfd https://t.co/MUx8pMarlj"]
[763, "I still don't think he died of the \"flu\""]
[764, "Having to make my dad pull over on the side of the highway so I could vomit violently is the worst, after such a good day"]
[765, "an impulse buy on amazon a few years ago and now i have a fever and aches."]
[766, "@KiwiMcKibben I wanna vomit"]
[767, "jungle fever better win https://t.co/IIU9zHlcE6"]
[768, "My Ollie has a fever and is restless hasn't slept yet. #helpme"]
[769, "this flu ain't no joke"]
[770, "I hate taking cold and flu tablets they make my body feel worse but my sinuses feel better"]
[771, "I swear i'm getting canin fever being stuck in the house all day\n\n#GetMeOutTheHouse"]
[772, "so dehydrated"]
[773, "@melljay3 having a hay fever. How r u, hun? xx"]
[774, "Did you know that when you get a fever, it could be cancer."]
[775, "@hazmatt72 I see you are dad. Ok, what about losing your child 'cause there is no FLU medicine in your country. Chavez left Vz in ruins"]
[776, "Gouty arthritis grieve balsam-introduce what unto close up specific inflammation diarrhea da: IPNcpmq"]
[777, "RT @laystagram10: goodbye DOTA, hello DOTS. \n\nDescendants Of The Sun FEVER OH MY GOD HAHAHA https://t.co/MzalFuUzbj"]
[778, "RT @RamonaK22: This actually makes me wanna vomit inshallah you'll get it just wait for it haywan https://t.co/Sddm1e8FCG"]
[779, "Fever"]
[780, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/8GtKYdtWVA https://t.co/hekAueZYAo"]
[781, "@yoginisd @Riteishd @JalyuktLatur \nNowdays it's fever of JalYuktShivar ,that's why deshmukh is contributing &amp; showing our r here for Latur"]
[782, "Nognog fever"]
[783, "@awakeningMan Yeah.  His story is fascinating; 90 minute piano only concert just days before he died of... the flu.  em.  hmmm #Sketchy"]
[784, "Adam Lambert - Fever (Stockholm)  https://t.co/v2AofkN0eV via @YouTube"]
[785, "RT @anvvnan: Cabin Fever (Remastered) - Michael Stanley Band https://t.co/4C4MKbyN4C #Rock"]
[786, "i am !!! so dehydrated!!!!?!!!"]
[787, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/n9JI2egTQq https://t.co/KzKlwZNGz5"]
[788, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/169W8NZbKD https://t.co/21YD9HKNZi"]
[789, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/OiwBcgvNkH https://t.co/N5Xc1Ihfl7"]
[790, "And then have sneezing fits!!! https://t.co/okyq2NG2Wh"]
[791, "DR. MANNY: Was Prince's flu care mishandled or did he have risk factors? | Fox News https://t.co/ZiEx3WLuhS"]
[792, "my drink?  https://t.co/hhny9k3YfA"]
[793, "RT MarketWatch : Public outrage is reaching a fever pitch over the deadly collapse of a bike path in Rio https://t.co/H4RiikM9bB"]
[794, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/TUm3CLtRln https://t.co/hCP7nDPOzy"]
[795, "#beer_benefits: Top Tips For Fighting Off The Flu (Stop Being Weak Dude)\r https://t.co/pShuSKL0kE https://t.co/CdMZdCiBEI"]
[796, "just work up and this sack of shit @BenRivers6 is trying to make me vomit by sending his sea cucumber looking penis"]
[797, "@vannaxoh I meant to put salsa fever :("]
[798, "#nowplaying  Lo-Fi Sensiblities -  Cabin Fever on TOPAZZ FM Orbital - listen on https://t.co/tQV5Y0qUH4 #electronic #radio"]
[799, "I have major yellow fever"]
[800, "RT @slklott: Unnecessary love triangles make me want to vomit"]
[801, "@gimehopejoanna @Birchall_87 I'm on the train to Blackheath and I want to vomit"]
[802, "and I'm dehydrated."]
[803, "#DescendantsOnTheSun fever."]
[804, "All vomit jokes aside I thought last night was actually a well good time"]
[805, "Ich habe ein @YouTube-Video positiv bewertet: https://t.co/HcneoE145e Angry grandpa Cheese Burger in a Can - Vomit Alert"]
[806, "@XOE_Yeon Its fever all trend but I haven't yet .I have full episodes but I fear of I may be infected.That's why I haven't started &amp; I'll"]
[807, "A non-productive day at work since I spent half day taking a few nap due to the fever"]
[808, "High as a pig call me swine flu?"]
[809, "it's been 5 days   free me from this fever hell"]
[810, "I just uploaded \"Ramblin' Fever - In memory of Merle Haggard\" to Mixcloud. Listen at https://t.co/ao9OO8Hj4v"]
[811, "I'm having this day with a stomach flu - I dropped and totaled my phone, then dropped my highlighter in the toilet. Somebody handcuff me."]
[812, "at least my fever has calmed down a teeeeeny little bit I guess"]
[813, "True that...si PRESIDENTE DUTERTE lang ang may Duterte Fever... Tiba tiba nga negosyante ng shirts nya sa Mall https://t.co/7XSRqAQlUC"]
[814, "#mktg #livery cc @LazarVP @pascalperri @Matymen @OlivierBabeau @emmanuelcombe @McWhirterAlex @mCenterDrexel  https://t.co/JJ3Hfx1q95"]
[815, "RT @Thabo09: Behive fans gonna tell you that you need medLEMON  https://t.co/LVe8ergLSm"]
[816, "Fever symptomatic conjunction untouched grand piano remotion services: XjI"]
